index,empresa,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,Total,Classe KMeans
191,068b9c5c4c524a7e13d636172456,0.09497206703910614,0.0111731843575419,0.027932960893854747,0.00558659217877095,0.00558659217877095,0.00558659217877095,0.027932960893854747,0.03910614525139665,0.03910614525139665,0.05027932960893855,0.03910614525139665,0.05027932960893855,0.0893854748603352,0.05586592178770949,0.0782122905027933,0.03910614525139665,0.01675977653631285,0.027932960893854747,0.027932960893854747,0.05027932960893855,0.0446927374301676,0.0335195530726257,0.06145251396648045,0.0782122905027933,179,7
192,1a979944251ead35bb875503c75f,0.003824091778202677,0.0,0.0,0.0,0.0,0.0,0.019120458891013385,0.059273422562141485,0.045889101338432124,0.04397705544933078,0.059273422562141485,0.022944550669216062,0.06500956022944551,0.09369024856596557,0.05736137667304015,0.06692160611854685,0.06883365200764817,0.05162523900573614,0.0841300191204589,0.06692160611854685,0.0745697896749522,0.059273422562141485,0.04780114722753346,0.009560229445506692,523,1
193,a1753fb8deac11e03f6d3d2a4bda,0.0,0.0,0.0,0.0,0.0,0.0,0.02112676056338028,0.06161971830985916,0.07658450704225353,0.07306338028169014,0.06073943661971831,0.0721830985915493,0.0625,0.048415492957746484,0.06161971830985916,0.05369718309859155,0.07746478873239436,0.07130281690140845,0.07746478873239436,0.06954225352112678,0.0721830985915493,0.03961267605633803,0.0008802816901408451,0.0,1136,1
194,44beb63322976f8ad46aa41d9423,0.05263157894736842,0.14912280701754385,0.05263157894736842,0.11403508771929825,0.03508771929824561,0.0,0.017543859649122806,0.017543859649122806,0.008771929824561403,0.02631578947368421,0.02631578947368421,0.017543859649122806,0.008771929824561403,0.017543859649122806,0.02631578947368421,0.008771929824561403,0.04385964912280702,0.05263157894736842,0.06140350877192983,0.017543859649122806,0.07894736842105263,0.07017543859649122,0.06140350877192983,0.03508771929824561,114,7
195,6f195d903f2e3bb177f9f1962e17,0.03169014084507042,0.02024647887323944,0.02024647887323944,0.01936619718309859,0.01584507042253521,0.014964788732394362,0.016725352112676055,0.0448943661971831,0.04137323943661972,0.056338028169014086,0.056338028169014086,0.055457746478873235,0.04753521126760563,0.04137323943661972,0.056338028169014086,0.056338028169014086,0.055457746478873235,0.06426056338028169,0.058098591549295774,0.056338028169014086,0.04137323943661972,0.04137323943661972,0.04049295774647888,0.04753521126760563,1136,7
197,429ae6b410691642eccbc6c360ff,0.002170374389582203,0.0,0.0,0.0,0.0,0.006511123168746608,0.013022246337493215,0.02278893109061313,0.04829083016820401,0.05317417254476397,0.09441128594682582,0.09495387954422138,0.0363537710255019,0.037438958220293,0.074877916440586,0.05371676614215952,0.07216494845360824,0.08138903960933261,0.09278350515463918,0.08844275637547477,0.02116115029842648,0.059142702116115026,0.017362995116657624,0.029842647856755288,1843,1
198,8da05e101663cda9a27bf32172f3,0.09615384615384616,0.04487179487179487,0.05128205128205128,0.01282051282051282,0.00641025641025641,0.04487179487179487,0.02564102564102564,0.02564102564102564,0.00641025641025641,0.02564102564102564,0.019230769230769232,0.02564102564102564,0.038461538461538464,0.019230769230769232,0.02564102564102564,0.02564102564102564,0.038461538461538464,0.03205128205128205,0.0576923076923077,0.09615384615384616,0.038461538461538464,0.07051282051282051,0.07692307692307693,0.09615384615384616,156,7
199,2f558caeafdf7ea8a76481ce07d4,0.0,0.0,0.0,0.0,0.0,0.0,0.00985663082437276,0.051075268817204304,0.05017921146953405,0.06362007168458783,0.05913978494623656,0.06630824372759858,0.06093189964157706,0.07258064516129033,0.06272401433691756,0.08064516129032258,0.057347670250896064,0.08333333333333333,0.09587813620071683,0.08333333333333333,0.05555555555555555,0.034050179211469536,0.010752688172043013,0.0026881720430107533,1116,1
200,878782faee70dd571e8b2b589adf,0.022963367960634227,0.011481683980317112,0.009294696555494806,0.0065609622744669215,0.012028430836522691,0.01038819026790596,0.030071077091306724,0.036085292509568066,0.04866047020229634,0.06068890103881903,0.059595407326407876,0.05795516675779115,0.04155276107162384,0.05522143247676326,0.056861673045379986,0.07107709130672499,0.0754510661563696,0.07490431930016403,0.059595407326407876,0.06287588846364134,0.048113723346090764,0.039912520503007115,0.02569710224166211,0.022963367960634227,1829,1
201,e9d24eee087d2c2065863eb47bd4,0.06146788990825688,0.048623853211009184,0.042201834862385317,0.02568807339449541,0.02568807339449541,0.020183486238532108,0.02568807339449541,0.02568807339449541,0.01834862385321101,0.03027522935779817,0.024770642201834864,0.07064220183486239,0.05321100917431193,0.05137614678899083,0.040366972477064215,0.048623853211009184,0.059633027522935776,0.03211009174311927,0.05412844036697248,0.041284403669724766,0.040366972477064215,0.03302752293577982,0.06330275229357799,0.06330275229357799,1090,7
202,e6ac4d450848c3f0d7b193b77539,0.037516170763260026,0.03363518758085381,0.03622250970245795,0.02328589909443726,0.024579560155239332,0.02199223803363519,0.027166882276843468,0.05562742561448901,0.037516170763260026,0.040103492884864166,0.049159120310478664,0.05562742561448901,0.04527813712807245,0.029754204398447608,0.037516170763260026,0.038809831824062085,0.03622250970245795,0.059508408796895215,0.04269081500646831,0.04398447606727038,0.056921086675291076,0.04269081500646831,0.060802069857697275,0.06338939197930142,773,7
203,356098e48afcceba94a5857c2eed,0.06659505907626208,0.055853920515574654,0.034371643394199784,0.031149301825993563,0.040816326530612235,0.023630504833512356,0.022556390977443608,0.02470461868958109,0.027926960257787327,0.0322234156820623,0.040816326530612235,0.040816326530612235,0.0397422126745435,0.038668098818474765,0.038668098818474765,0.054779806659505915,0.03759398496240601,0.034371643394199784,0.04189044038668099,0.04726100966702471,0.04618689581095596,0.050483351235230935,0.06981740064446831,0.059076262083780876,931,7
204,9fb6c6229d0ce85881c511585b90,0.018848167539267012,0.003664921465968585,0.002617801047120419,0.005235602094240838,0.008376963350785341,0.02774869109947644,0.029842931937172777,0.030890052356020943,0.045026178010471214,0.05602094240837696,0.059162303664921465,0.0743455497382199,0.07172774869109948,0.05445026178010471,0.05602094240837696,0.051308900523560214,0.06387434554973823,0.04554973821989529,0.07068062827225131,0.08272251308900523,0.059162303664921465,0.04083769633507853,0.016753926701570682,0.025130890052356025,1910,1
