empresa,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,Total,dominio
8270a9b440c84e041f473b373c3d,46,33,30,23,27,39,63,99,108,83,76,73,90,83,86,83,93,109,103,117,126,112,95,67,1864,0
1053a8f2f1b2a3389d6f15c1d195,3,1,0,0,0,1,1,1,1,1,1,0,0,0,1,3,2,0,2,1,6,2,3,1,31,0
ed68f8e238e465133ce2f9baeb4d,0,0,0,0,0,0,27,127,194,229,204,223,192,206,211,257,277,261,332,281,183,102,29,3,3338,0
5ff62d2724aac4e69944e47b5a33,73,45,34,29,26,18,20,16,16,30,30,32,28,37,48,31,41,43,66,63,52,42,54,49,923,0
c33b7c71c42e7b443cf6d6fb7976,2,0,3,0,1,4,17,43,31,44,42,49,32,38,50,50,53,56,64,46,54,38,32,8,757,0
b452cbe59344e060deb981ed05cc,13,1,0,0,4,12,46,86,148,150,188,203,169,131,133,121,125,144,169,186,81,47,14,13,2184,0
19cf39a2b90afb267e14130c98ab,0,0,0,0,0,0,47,82,69,79,93,77,79,84,88,79,84,133,129,107,94,10,0,0,1334,0
6bf097674b717cee6777af8ac1d5,9,2,0,0,2,3,29,50,75,63,50,48,41,48,50,45,65,63,71,79,47,59,37,6,942,0
5b325cfa994fd241f7b38f32cbbd,0,0,0,0,0,11,108,240,277,278,311,259,272,273,311,286,275,310,340,315,312,221,136,44,4579,0
43feae4477f8cc24d12b126bdfeb,81,65,46,49,69,38,69,105,95,117,104,94,115,94,100,109,127,132,151,134,143,136,154,128,2455,0
9df274ffa1772065e8feae85faa8,0,0,0,0,0,0,28,39,55,73,59,59,64,66,79,67,74,74,94,85,77,54,46,28,1121,0
10ac85715199e357fb5840e9298a,0,0,0,0,0,0,2,12,18,26,29,18,17,17,16,20,24,20,30,19,24,5,13,6,316,0
03390ba1a5be15099869de8cf39c,78,66,51,43,35,48,169,269,310,274,279,278,291,291,327,356,312,333,388,322,311,271,238,157,5497,0
9357ebc705098db3d1839824adca,35,12,16,8,5,16,62,155,164,163,143,179,190,178,141,145,154,199,206,192,151,139,78,43,2774,0
744f9707a59fbbffe75dad22aee7,89,71,65,54,39,36,67,63,70,75,81,86,180,180,155,123,145,104,100,78,92,151,120,96,2320,0
04b2536f7d93bea864f4b9785ac0,33,16,6,4,5,8,52,75,81,89,101,70,100,93,93,88,90,101,111,88,82,75,102,90,1653,0
a1c18fad8e849720d93a6d2fec24,6,4,7,5,8,10,18,58,82,97,82,76,68,84,86,76,101,86,96,79,80,53,50,21,1333,0
8cbfeb4cc06c01ef1be06bbdf685,0,0,0,0,0,0,68,41,39,39,52,40,46,62,34,33,41,45,50,62,41,45,33,14,785,0
1103c5d7c566efa1191212235f2d,0,0,0,0,0,0,11,24,24,21,21,26,21,17,24,33,34,44,44,39,37,41,22,26,509,0
06b5d04010a42d03bfb6d2593e37,43,8,4,7,12,16,27,30,36,51,69,66,80,43,61,60,59,57,74,20,44,43,50,104,1064,0
ad03e0df971fa7807e5fa50ea55a,0,0,0,0,0,0,19,21,31,40,35,39,29,27,30,39,42,49,50,37,40,19,0,0,547,0
414da79d8c1ee9fbea416ba80847,4,0,0,0,0,9,50,88,100,77,82,85,87,101,83,87,100,73,94,77,88,62,53,42,1442,0
58a1375e67a703ed2881eaf652bb,21,9,7,2,35,51,47,75,66,63,71,39,70,82,54,52,56,52,72,73,69,64,36,61,1227,0
9ae0d339af76fec17cb16eafeeb2,9,10,0,8,6,19,23,27,31,36,42,45,46,29,46,34,54,45,51,38,38,44,41,12,734,0
d3ddd5cb3c0a08272f9e242edecd,8,8,6,3,4,10,46,44,37,59,65,62,53,79,73,60,59,68,88,64,53,52,25,8,1034,0
c826b25826923fba6ddce86752e9,41,24,14,15,13,44,50,121,157,171,173,162,187,189,170,156,169,211,210,199,173,120,101,81,2951,0
ff25d8296aa0c30e266d5c868ba0,49,36,28,24,17,21,27,53,65,40,53,48,52,70,67,78,73,70,96,74,71,79,64,71,1326,0
b79f62e3a8c9fb4ab067a54fc945,37,33,21,15,15,27,20,49,74,78,86,89,66,91,61,83,104,95,119,113,73,90,50,50,1539,0
773f6f2809c5785a30016f56e609,1,0,0,0,0,0,52,136,152,135,166,170,184,187,155,153,148,193,223,226,236,180,39,15,2751,0
4cb1c1cc06ec2a49a90d0e541d58,0,0,0,0,0,0,19,11,21,18,13,20,9,9,7,4,24,24,17,18,8,9,1,0,232,0
d217627b20f7ab446b8250149f40,315,255,252,255,199,207,208,236,328,394,286,308,425,342,309,304,244,343,262,297,499,498,571,347,7684,0
b0039040d7b485015066cbf376a4,138,101,106,96,43,51,33,46,43,46,71,46,69,46,58,43,98,90,119,86,58,66,84,98,1735,0
ac59cda296731f6cbb3d74a37007,61,37,27,21,22,23,76,144,179,189,212,202,192,226,218,227,209,243,262,215,190,163,155,121,3614,0
551618f919ce9c687a63565ef7b1,46,41,39,30,40,18,19,16,20,21,24,14,22,22,25,28,31,27,24,28,24,30,41,38,668,0
