encrypted_cnpj;encrypted_cnpj_prefix;encrypted_5_zipcode;encrypted_domain;cnae_code;cnae_desc;cheque;crediario;credito;debito;deposito;dinheiro;transferencia;prod_variety;day_mean;best_hour;best_hour_mean;interval_0h_4h;interval_4h_8h;interval_8h_12h;interval_12h_16h;interval_16h_20h;interval_20h_24h
8ca8bdc2d1f1ab1b29710a6fef21;3,13537E+63;3,06562E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,401981599;0,598018401;0;0;0;156;7,302325581; 0:00 -  1:00;7,302325581;7,302325581;;;;;
8cba0f90db380d4c95ecc0502a9e;6,33234E+63;3,66137E+63;3,13035E+63;4713002;Lojas de variedades, exceto lojas de departamentos ou magazines;0;;0;0;0;0;0;86;7,192771084;23:00 - 24:00;2,333333333;;;2,390243902;2,76119403;3,461538462;1,934782609
8cbfeb4cc06c01ef1be06bbdf685;3,93865E+63;3,83364E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;0,021373152;0;0,003659786;0,001756697;0;0,973210365;0;119;8,532608696; 6:00 -  7:00;1,581395349;;1,879310345;2,361111111;2,333333333;2,444444444;1,821917808
8cc792c18225677fe4ca694b557d;3,83839E+63;6,26239E+63;3,13035E+63;4781400;Comércio varejista de artigos do vestuário e acessórios;0;;0;0;0;0;0;13;1,133333333;22:00 - 23:00;1;;;;1;1;1
8ccf75cf6da3472a0131e656b23a;3,83932E+63;3,43864E+63;3,13234E+63;5611201;Restaurantes e similares;0;0;0,335726351;0,442989865;0;0,221283784;0;198;10,41111111; 0:00 -  1:00;10,41111111;10,41111111;;;;;
8cf6e2aecfbdccf78cbdb5c9b5a0;6,23362E+63;3,26634E+63;3,13035E+63;4782201;Comércio varejista de calçados;0;;0;0;0;0;0;370;5,5375;15:00 - 16:00;1,964285714;;;1,793103448;2,890909091;2,695652174;1,703703704
8d1550506ab1781ad6c8e5f7f161;6,1663E+63;6,36635E+63;3,13035E+63;4781400;Comércio varejista de artigos do vestuário e acessórios;0;;0;0;0;0;0;602;8,303370787;17:00 - 18:00;1,882352941;;;2,209302326;3,480519481;3,337349398;2,106382979
8d1cd04ad65f5b41a7f1460977df;6,36638E+63;6,13037E+63;3,13035E+63;4729699;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;0;;0;0;0;0;0;136;4,95890411;13:00 - 14:00;1,666666667;;;1,888888889;2,563636364;2,770833333;1
8d26de7135d71a64d3954e30d3b6;6,16567E+63;3,76238E+63;6,13965E+63;4731800;Comércio varejista de combustíveis para veículos automotores;1;0;0;0;0;0;0;201;11,73913043;11:00 - 12:00;1,514285714;2,375;1,75;2,319444444;2,375;2,802325581;2,534883721
8d6b66972d72bb87d447ca66a27f;3,13239E+63;6,5633E+63;3,13234E+63;5611203;Lanchonetes, casas de chá, de sucos e similares;0;0;0,23613963;0,76386037;0;0;0;55;4,744444444; 0:00 -  1:00;4,744444444;4,744444444;;;;;
